Age of Message,Number of blue Nodes,Score
124.0,12.0,1372.0
125.0,12.0,1364.0
126.0,12.0,1356.0
127.0,12.0,1348.0
128.0,12.0,1340.0
129.0,12.0,1332.0
130.0,12.0,1324.0
131.0,12.0,1316.0
132.0,12.0,1308.0
133.0,12.0,1300.0
134.0,12.0,1292.0
135.0,12.0,1284.0
136.0,12.0,1276.0
137.0,12.0,1268.0
138.0,12.0,1260.0
139.0,12.0,1252.0
140.0,12.0,1244.0
141.0,12.0,1236.0
142.0,12.0,1228.0
143.0,12.0,1220.0
144.0,12.0,1212.0
145.0,12.0,1204.0
146.0,12.0,1196.0
147.0,12.0,1188.0
148.0,12.0,1180.0
149.0,12.0,1172.0
150.0,12.0,1164.0
151.0,12.0,1156.0
152.0,12.0,1148.0
153.0,12.0,1140.0
154.0,12.0,1132.0
155.0,12.0,1124.0
156.0,12.0,1116.0
157.0,12.0,1108.0
158.0,12.0,1100.0
159.0,12.0,1092.0
160.0,12.0,1084.0
161.0,12.0,1076.0
162.0,12.0,1068.0
163.0,12.0,1060.0
164.0,12.0,1052.0
165.0,12.0,1044.0
166.0,12.0,1036.0
167.0,12.0,1028.0
168.0,12.0,1020.0
169.0,12.0,1012.0
170.0,12.0,1004.0
171.0,12.0,996.0
172.0,12.0,988.0
173.0,12.0,980.0
174.0,12.0,972.0
175.0,12.0,964.0
176.0,12.0,956.0
177.0,12.0,948.0
178.0,12.0,940.0
179.0,12.0,932.0
180.0,12.0,924.0
181.0,12.0,916.0
182.0,12.0,908.0
183.0,12.0,900.0
184.0,12.0,892.0
185.0,12.0,884.0
186.0,12.0,876.0
187.0,12.0,868.0
188.0,12.0,860.0
189.0,12.0,852.0
190.0,12.0,844.0
191.0,12.0,836.0
192.0,12.0,828.0
193.0,12.0,820.0
194.0,12.0,812.0
195.0,12.0,804.0
196.0,12.0,796.0
197.0,12.0,788.0
198.0,12.0,780.0
199.0,12.0,772.0
200.0,12.0,764.0
201.0,12.0,756.0
202.0,12.0,748.0
203.0,12.0,740.0
204.0,12.0,732.0
205.0,12.0,724.0
206.0,12.0,716.0
207.0,12.0,708.0
208.0,12.0,700.0
209.0,12.0,692.0
210.0,12.0,684.0
211.0,12.0,676.0
212.0,12.0,668.0
213.0,12.0,660.0
214.0,12.0,652.0
215.0,12.0,644.0
216.0,12.0,636.0
217.0,12.0,628.0
218.0,12.0,620.0
219.0,12.0,612.0
220.0,12.0,604.0
221.0,12.0,596.0
222.0,12.0,588.0
223.0,12.0,580.0
224.0,12.0,572.0
225.0,12.0,564.0
226.0,12.0,556.0
227.0,12.0,548.0
228.0,12.0,540.0
229.0,12.0,532.0
230.0,12.0,524.0
231.0,12.0,516.0
232.0,12.0,508.0
233.0,12.0,500.0
234.0,12.0,492.0
235.0,12.0,484.0
236.0,12.0,476.0
237.0,12.0,468.0
238.0,12.0,460.0
239.0,12.0,452.0
240.0,12.0,444.0
241.0,12.0,436.0
242.0,12.0,428.0
243.0,12.0,420.0
244.0,12.0,412.0
245.0,12.0,404.0
246.0,12.0,396.0
247.0,12.0,388.0
248.0,12.0,380.0
249.0,12.0,372.0
250.0,12.0,364.0
251.0,12.0,356.0
252.0,12.0,348.0
253.0,12.0,340.0
254.0,12.0,332.0
255.0,12.0,324.0
256.0,12.0,316.0
257.0,12.0,308.0
258.0,12.0,300.0
259.0,12.0,292.0
260.0,12.0,284.0
261.0,12.0,276.0
262.0,12.0,268.0
263.0,12.0,260.0
264.0,12.0,252.0
265.0,12.0,244.0
266.0,12.0,236.0
267.0,12.0,228.0
268.0,12.0,220.0
269.0,12.0,212.0
270.0,12.0,204.0
271.0,12.0,196.0
272.0,12.0,188.0
273.0,12.0,180.0
274.0,12.0,172.0
275.0,12.0,164.0
276.0,12.0,156.0
277.0,12.0,148.0
278.0,12.0,140.0
279.0,12.0,132.0
280.0,12.0,124.0
281.0,12.0,116.0
282.0,12.0,108.0
283.0,12.0,100.0
284.0,12.0,92.0
285.0,12.0,84.0
286.0,12.0,76.0
287.0,12.0,68.0
288.0,12.0,60.0
289.0,12.0,52.0
290.0,12.0,44.0
291.0,12.0,36.0
292.0,12.0,28.0
293.0,12.0,20.0
294.0,12.0,12.0
295.0,12.0,4.0
296.0,12.0,0.0
297.0,12.0,0.0
298.0,12.0,0.0
299.0,12.0,0.0
300.0,12.0,0.0
301.0,12.0,0.0
302.0,12.0,0.0
303.0,12.0,0.0
304.0,12.0,0.0
305.0,12.0,0.0
306.0,12.0,0.0
307.0,12.0,0.0
308.0,12.0,0.0
309.0,12.0,0.0
310.0,12.0,0.0
311.0,12.0,0.0
312.0,12.0,0.0
313.0,12.0,0.0
314.0,12.0,0.0
315.0,12.0,0.0
316.0,12.0,0.0
317.0,12.0,0.0
318.0,12.0,0.0
319.0,12.0,0.0
320.0,12.0,0.0
321.0,12.0,0.0
322.0,12.0,0.0
323.0,12.0,0.0
324.0,12.0,0.0
325.0,12.0,0.0
326.0,12.0,0.0
327.0,12.0,0.0
328.0,12.0,0.0
329.0,12.0,0.0
330.0,12.0,0.0
331.0,12.0,0.0
332.0,12.0,0.0
333.0,12.0,0.0
334.0,12.0,0.0
335.0,12.0,0.0
336.0,12.0,0.0
337.0,12.0,0.0
338.0,12.0,0.0
339.0,12.0,0.0
340.0,12.0,0.0
341.0,12.0,0.0
342.0,12.0,0.0
343.0,12.0,0.0
344.0,12.0,0.0
345.0,12.0,0.0
346.0,12.0,0.0
347.0,12.0,0.0
348.0,12.0,0.0
349.0,12.0,0.0
350.0,12.0,0.0
351.0,12.0,0.0
352.0,12.0,0.0
353.0,12.0,0.0
354.0,12.0,0.0
355.0,12.0,0.0
356.0,12.0,0.0
357.0,12.0,0.0
358.0,12.0,0.0
359.0,12.0,0.0
360.0,12.0,0.0
361.0,12.0,0.0
362.0,12.0,0.0
363.0,12.0,0.0
364.0,12.0,0.0
365.0,12.0,0.0
366.0,12.0,0.0
367.0,12.0,0.0
368.0,12.0,0.0
369.0,12.0,0.0
370.0,12.0,0.0
371.0,12.0,0.0
372.0,12.0,0.0
373.0,12.0,0.0
374.0,12.0,0.0
375.0,12.0,0.0
376.0,12.0,0.0
377.0,12.0,0.0
378.0,12.0,0.0
379.0,12.0,0.0
380.0,12.0,0.0
381.0,12.0,0.0
382.0,12.0,0.0
383.0,12.0,0.0
384.0,12.0,0.0
385.0,12.0,0.0
386.0,12.0,0.0
387.0,12.0,0.0
388.0,12.0,0.0
389.0,12.0,0.0
390.0,12.0,0.0
391.0,12.0,0.0
392.0,12.0,0.0
393.0,12.0,0.0
394.0,12.0,0.0
395.0,12.0,0.0
396.0,12.0,0.0
397.0,12.0,0.0
398.0,12.0,0.0
399.0,12.0,0.0
400.0,12.0,0.0
401.0,12.0,0.0
402.0,12.0,0.0
403.0,12.0,0.0
404.0,12.0,0.0
405.0,12.0,0.0
406.0,12.0,0.0
407.0,12.0,0.0
408.0,12.0,0.0
409.0,12.0,0.0
410.0,12.0,0.0
411.0,12.0,0.0
412.0,12.0,0.0
413.0,12.0,0.0
414.0,12.0,0.0
415.0,12.0,0.0
416.0,12.0,0.0
417.0,12.0,0.0
418.0,12.0,0.0
419.0,12.0,0.0
420.0,12.0,0.0
421.0,12.0,0.0
422.0,12.0,0.0
423.0,12.0,0.0
424.0,12.0,0.0
425.0,12.0,0.0
426.0,12.0,0.0
427.0,12.0,0.0
428.0,12.0,0.0
429.0,12.0,0.0
430.0,12.0,0.0
431.0,12.0,0.0
432.0,12.0,0.0
433.0,12.0,0.0
434.0,12.0,0.0
435.0,12.0,0.0
436.0,12.0,0.0
437.0,12.0,0.0
438.0,12.0,0.0
439.0,12.0,0.0
440.0,12.0,0.0
441.0,12.0,0.0
442.0,12.0,0.0
443.0,12.0,0.0
444.0,12.0,0.0
445.0,12.0,0.0
446.0,12.0,0.0
447.0,12.0,0.0
448.0,12.0,0.0
449.0,12.0,0.0
450.0,12.0,0.0
451.0,12.0,0.0
452.0,12.0,0.0
453.0,12.0,0.0
454.0,12.0,0.0
455.0,12.0,0.0
456.0,12.0,0.0
457.0,12.0,0.0
458.0,12.0,0.0
459.0,12.0,0.0
460.0,12.0,0.0
461.0,12.0,0.0
462.0,12.0,0.0
463.0,12.0,0.0
464.0,12.0,0.0
465.0,12.0,0.0
466.0,12.0,0.0
467.0,12.0,0.0
468.0,12.0,0.0
469.0,12.0,0.0
470.0,12.0,0.0
471.0,12.0,0.0
472.0,12.0,0.0
473.0,12.0,0.0
474.0,12.0,0.0
475.0,12.0,0.0
476.0,12.0,0.0
477.0,12.0,0.0
478.0,12.0,0.0
479.0,12.0,0.0
480.0,12.0,0.0
481.0,12.0,0.0
482.0,12.0,0.0
483.0,12.0,0.0
484.0,12.0,0.0
485.0,12.0,0.0
486.0,12.0,0.0
487.0,12.0,0.0
488.0,12.0,0.0
489.0,12.0,0.0
490.0,12.0,0.0
491.0,12.0,0.0
492.0,12.0,0.0
493.0,12.0,0.0
494.0,12.0,0.0
495.0,12.0,0.0
496.0,12.0,0.0
497.0,12.0,0.0
498.0,12.0,0.0
499.0,12.0,0.0
500.0,12.0,0.0
501.0,12.0,0.0
502.0,12.0,0.0
503.0,12.0,0.0
504.0,12.0,0.0
505.0,12.0,0.0
506.0,12.0,0.0
507.0,12.0,0.0
508.0,12.0,0.0
509.0,12.0,0.0
510.0,12.0,0.0
511.0,12.0,0.0
512.0,12.0,0.0
513.0,12.0,0.0
514.0,12.0,0.0
515.0,12.0,0.0
516.0,12.0,0.0
517.0,12.0,0.0
518.0,12.0,0.0
519.0,12.0,0.0
520.0,12.0,0.0
521.0,12.0,0.0
522.0,12.0,0.0
523.0,12.0,0.0
524.0,12.0,0.0
525.0,12.0,0.0
526.0,12.0,0.0
527.0,12.0,0.0
528.0,12.0,0.0
529.0,12.0,0.0
530.0,12.0,0.0
531.0,12.0,0.0
532.0,12.0,0.0
533.0,12.0,0.0
534.0,12.0,0.0
535.0,12.0,0.0
536.0,12.0,0.0
537.0,12.0,0.0
538.0,12.0,0.0
539.0,12.0,0.0
540.0,12.0,0.0
541.0,12.0,0.0
542.0,12.0,0.0
543.0,12.0,0.0
544.0,12.0,0.0
545.0,12.0,0.0
546.0,12.0,0.0
547.0,12.0,0.0
548.0,12.0,0.0
549.0,12.0,0.0
550.0,12.0,0.0
551.0,12.0,0.0
552.0,12.0,0.0
553.0,12.0,0.0
554.0,12.0,0.0
555.0,12.0,0.0
556.0,12.0,0.0
557.0,12.0,0.0
558.0,12.0,0.0
559.0,12.0,0.0
560.0,12.0,0.0
561.0,12.0,0.0
562.0,12.0,0.0
563.0,12.0,0.0
564.0,12.0,0.0
565.0,12.0,0.0
566.0,12.0,0.0
567.0,12.0,0.0
568.0,12.0,0.0
569.0,12.0,0.0
570.0,12.0,0.0
571.0,12.0,0.0
572.0,12.0,0.0
573.0,12.0,0.0
574.0,12.0,0.0
575.0,12.0,0.0
576.0,12.0,0.0
577.0,12.0,0.0
578.0,12.0,0.0
579.0,12.0,0.0
580.0,12.0,0.0
581.0,12.0,0.0
582.0,12.0,0.0
583.0,12.0,0.0
584.0,12.0,0.0
585.0,12.0,0.0
586.0,12.0,0.0
587.0,12.0,0.0
588.0,12.0,0.0
589.0,12.0,0.0
590.0,12.0,0.0
591.0,12.0,0.0
592.0,12.0,0.0
593.0,12.0,0.0
594.0,12.0,0.0
595.0,12.0,0.0
596.0,12.0,0.0
597.0,12.0,0.0
598.0,12.0,0.0
599.0,12.0,0.0
600.0,12.0,0.0
